"filepath","filename","longitude","latitude","altitude","gps_date","img_date","parcelno","house_numb","street_nam","street_typ","zipcode","common_nam"
"/Volumes/KD/Vernor4/G0114074.JPG","G0114074.JPG",-83.0152082,42.3558178,155.116,"2017:06:23 21:00:26","2017:06:23 05:01:07","15013359-60","6445","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114075.JPG","G0114075.JPG",-83.0153158,42.355795,155.184,"2017:06:23 21:00:28","2017:06:23 05:01:09","15013359-60","6445","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114076.JPG","G0114076.JPG",-83.0154306,42.3557717,155.464,"2017:06:23 21:00:30","2017:06:23 05:01:11","15013359-60","6445","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114077.JPG","G0114077.JPG",-83.0155559,42.3557478,155.865,"2017:06:23 21:00:32","2017:06:23 05:01:13","15013359-60","6445","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114054.JPG","G0114054.JPG",-83.0127808,42.3563331,155.582,"2017:06:23 20:59:46","2017:06:23 05:00:27","15013114-5","2412","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114055.JPG","G0114055.JPG",-83.0128694,42.3562986,155.249,"2017:06:23 20:59:48","2017:06:23 05:00:29","15013114-5","2412","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114056.JPG","G0114056.JPG",-83.0129648,42.3562688,155.462,"2017:06:23 20:59:50","2017:06:23 05:00:31","15013114-5","2412","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114057.JPG","G0114057.JPG",-83.0130609,42.3562444,154.291,"2017:06:23 20:59:52","2017:06:23 05:00:33","15013114-5","2412","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114058.JPG","G0114058.JPG",-83.0131655,42.356218,152.748,"2017:06:23 20:59:54","2017:06:23 05:00:35","15013114-5","2412","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114059.JPG","G0114059.JPG",-83.0132745,42.3561878,152.227,"2017:06:23 20:59:56","2017:06:23 05:00:37","15013114-5","2412","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114060.JPG","G0114060.JPG",-83.0134137,42.3561621,152.334,"2017:06:23 20:59:58","2017:06:23 05:00:39","15013268-9","2425","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114061.JPG","G0114061.JPG",-83.0135676,42.356136,152.226,"2017:06:23 21:00:00","2017:06:23 05:00:41","15013268-9","2425","BELLEVUE",,"48207",
